Iteration,Selfish Strategy,Honest Strategy
1,Selfish,Honest
2,Selfish,Honest
3,Selfish,Honest
4,Selfish,Honest
5,Selfish,Honest
6,Selfish,Honest
7,Selfish,Honest
8,Selfish,Honest
9,Selfish,Honest
10,Selfish,Honest
11,Selfish,Honest
12,Selfish,Honest
13,Selfish,Honest
14,Selfish,Honest
15,Selfish,Honest
16,Selfish,Honest
17,Selfish,Honest
18,Selfish,Honest
19,Selfish,Honest
20,Selfish,Honest
21,Selfish,Honest
22,Selfish,Honest
23,Selfish,Honest
24,Selfish,Honest
25,Selfish,Honest
26,Selfish,Honest
27,Selfish,Honest
28,Selfish,Honest
29,Selfish,Honest
30,Selfish,Honest
31,Selfish,Honest
32,Selfish,Honest
33,Selfish,Honest
34,Selfish,Honest
35,Selfish,Honest
36,Selfish,Honest
37,Selfish,Honest
38,Selfish,Honest
39,Selfish,Honest
40,Selfish,Honest
41,Selfish,Honest
42,Selfish,Honest
43,Selfish,Honest
44,Selfish,Honest
45,Selfish,Honest
46,Selfish,Honest
47,Selfish,Honest
48,Selfish,Honest
49,Selfish,Honest
50,Selfish,Honest
51,Selfish,Honest
52,Selfish,Honest
53,Selfish,Honest
54,Selfish,Honest
55,Selfish,Honest
56,Selfish,Honest
57,Selfish,Honest
58,Selfish,Honest
59,Selfish,Honest
60,Selfish,Honest
61,Selfish,Honest
62,Selfish,Honest
63,Selfish,Honest
64,Selfish,Honest
65,Selfish,Honest
66,Selfish,Honest
67,Selfish,Honest
68,Selfish,Honest
69,Selfish,Honest
70,Selfish,Honest
71,Selfish,Honest
72,Selfish,Honest
73,Selfish,Honest
74,Selfish,Honest
75,Selfish,Honest
76,Selfish,Honest
77,Selfish,Honest
78,Selfish,Honest
79,Selfish,Honest
80,Selfish,Honest
81,Selfish,Honest
82,Selfish,Honest
83,Selfish,Honest
84,Selfish,Honest
85,Selfish,Honest
86,Selfish,Honest
87,Selfish,Honest
88,Selfish,Honest
89,Selfish,Honest
90,Selfish,Honest
91,Selfish,Honest
92,Selfish,Honest
93,Selfish,Honest
94,Selfish,Honest
95,Selfish,Honest
96,Selfish,Honest
97,Selfish,Honest
98,Selfish,Honest
99,Selfish,Honest
100,Selfish,Honest
101,Selfish,Honest
102,Selfish,Honest
103,Selfish,Honest
104,Selfish,Honest
105,Selfish,Honest
106,Selfish,Honest
107,Selfish,Honest
108,Selfish,Honest
109,Selfish,Honest
110,Selfish,Honest
111,Selfish,Honest
112,Selfish,Honest
113,Selfish,Honest
114,Selfish,Honest
115,Selfish,Honest
116,Selfish,Honest
117,Selfish,Honest
118,Selfish,Honest
119,Selfish,Honest
120,Selfish,Honest
121,Selfish,Honest
122,Selfish,Honest
123,Selfish,Honest
124,Selfish,Honest
125,Selfish,Honest
126,Selfish,Honest
127,Selfish,Honest
128,Selfish,Honest
129,Selfish,Honest
130,Selfish,Honest
131,Selfish,Honest
132,Selfish,Honest
133,Selfish,Honest
134,Selfish,Honest
135,Selfish,Honest
136,Selfish,Honest
137,Selfish,Honest
138,Selfish,Honest
139,Selfish,Honest
140,Selfish,Honest
141,Selfish,Honest
142,Selfish,Honest
143,Selfish,Honest
144,Selfish,Honest
145,Selfish,Honest
146,Selfish,Honest
147,Selfish,Honest
148,Selfish,Honest
149,Selfish,Honest
150,Selfish,Honest
151,Selfish,Honest
152,Selfish,Honest
153,Selfish,Honest
154,Selfish,Honest
155,Selfish,Honest
156,Selfish,Honest
157,Selfish,Honest
158,Selfish,Honest
159,Selfish,Honest
160,Selfish,Honest
161,Selfish,Honest
162,Selfish,Honest
163,Selfish,Honest
164,Selfish,Honest
165,Selfish,Honest
166,Selfish,Honest
167,Selfish,Honest
168,Selfish,Honest
169,Selfish,Honest
170,Selfish,Honest
171,Selfish,Honest
172,Selfish,Honest
173,Selfish,Honest
174,Selfish,Honest
175,Selfish,Honest
176,Selfish,Honest
177,Selfish,Honest
178,Selfish,Honest
179,Selfish,Honest
180,Selfish,Honest
181,Selfish,Honest
182,Selfish,Honest
183,Selfish,Honest
184,Selfish,Honest
185,Selfish,Honest
186,Selfish,Honest
187,Selfish,Honest
188,Selfish,Honest
189,Selfish,Honest
190,Selfish,Honest
191,Selfish,Honest
192,Selfish,Honest
193,Selfish,Honest
194,Selfish,Honest
195,Selfish,Honest
196,Selfish,Honest
197,Selfish,Honest
198,Selfish,Honest
199,Selfish,Honest
200,Selfish,Honest
201,Selfish,Honest
202,Selfish,Honest
203,Selfish,Honest
204,Selfish,Honest
205,Selfish,Honest
206,Selfish,Honest
207,Selfish,Honest
208,Selfish,Honest
209,Selfish,Honest
210,Selfish,Honest
211,Selfish,Honest
212,Selfish,Honest
213,Selfish,Honest
214,Selfish,Honest
215,Selfish,Honest
216,Selfish,Honest
217,Selfish,Honest
218,Selfish,Honest
219,Selfish,Honest
220,Selfish,Honest
221,Selfish,Honest
222,Selfish,Honest
223,Selfish,Honest
224,Selfish,Honest
225,Selfish,Honest
226,Selfish,Honest
227,Selfish,Honest
228,Selfish,Honest
229,Selfish,Honest
230,Selfish,Honest
231,Selfish,Honest
232,Selfish,Honest
233,Selfish,Honest
234,Selfish,Honest
235,Selfish,Honest
236,Selfish,Honest
237,Selfish,Honest
238,Selfish,Honest
239,Selfish,Honest
240,Selfish,Honest
241,Selfish,Honest
242,Selfish,Honest
243,Selfish,Honest
244,Selfish,Honest
245,Selfish,Honest
